Date,Open,High,Low,Close,Volume,Adj Close
2016-06-06,168.39,168.39,168.32,168.32,000,168.32
2016-06-02,168.33,168.37,168.18,168.37,000,168.37
2016-06-01,168.38,168.38,168.36,168.36,000,168.36
2016-05-31,168.30,168.33,168.26,168.33,000,168.33
2016-05-30,168.36,168.36,168.32,168.36,000,168.36
2016-05-27,168.42,168.43,168.39,168.39,000,168.39
2016-05-26,168.36,168.40,168.00,168.02,000,168.02
2016-05-25,168.08,168.36,168.08,168.36,000,168.36
2016-05-24,168.16,168.28,168.16,168.22,000,168.22
2016-05-23,168.22,168.22,168.08,168.11,000,168.11
2016-05-20,168.16,168.17,168.06,168.06,000,168.06
2016-05-19,168.11,168.13,168.08,168.11,000,168.11
2016-05-18,168.21,168.26,168.12,168.19,000,168.19
2016-05-17,168.20,168.27,168.20,168.27,000,168.27
2016-05-13,168.24,168.24,168.18,168.22,000,168.22
2016-05-12,168.30,168.36,168.18,168.18,000,168.18
2016-05-11,168.49,168.51,168.45,168.51,000,168.51
2016-05-10,168.09,168.57,168.09,168.50,000,168.50
2016-05-09,168.38,168.47,168.38,168.46,000,168.46
2016-05-06,168.33,168.42,168.33,168.42,000,168.42
2016-05-05,168.26,168.37,168.25,168.34,000,168.34
2016-05-04,168.28,168.32,168.28,168.32,000,168.32
2016-05-03,168.25,168.37,168.25,168.34,000,168.34
2016-05-02,168.16,168.22,168.15,168.17,000,168.17
2016-04-29,168.14,168.14,168.03,168.09,000,168.09
2016-04-28,168.15,168.17,168.12,168.15,000,168.15
2016-04-27,167.66,168.09,167.66,168.06,000,168.06
2016-04-26,167.71,168.08,167.71,168.00,100,168.00
2016-04-25,168.11,168.11,168.03,168.05,000,168.05
2016-04-22,168.06,168.14,168.06,168.11,000,168.11
2016-04-21,168.17,168.17,168.06,168.06,000,168.06
2016-04-20,168.31,168.33,168.28,168.33,000,168.33
2016-04-19,168.30,168.30,168.25,168.25,000,168.25
2016-04-15,168.30,168.32,168.27,168.30,000,168.30
2016-04-14,168.30,168.30,168.21,168.24,000,168.24
2016-04-13,168.28,168.33,168.27,168.33,000,168.33
